iter	Passed	Remaining
803	921	224
804	922	223
805	923	222
806	924	220
807	924	219
808	925	218
809	926	217
810	927	216
811	928	214
812	928	213
813	929	212
814	930	211
815	931	210
816	932	208
817	933	207
818	934	206
819	934	205
820	936	204
821	937	202
822	938	201
823	939	200
824	939	199
825	940	198
826	941	196
827	942	195
828	943	194
829	943	193
830	944	192
831	945	190
832	946	189
833	947	188
834	948	187
835	949	186
836	949	184
837	950	183
838	951	182
839	952	181
840	953	180
841	954	179
842	955	177
843	956	176
844	956	175
845	957	174
846	958	173
847	959	171
848	960	170
849	961	169
850	962	168
851	963	167
852	964	166
853	965	165
854	966	163
855	968	162
856	968	161
857	969	160
858	970	159
859	984	160
860	985	159
861	986	157
862	988	156
863	990	155
864	991	154
865	992	153
866	994	152
867	997	151
868	1000	150
869	1002	149
870	1003	148
871	1005	147
872	1006	146
873	1007	145
874	1009	144
875	1010	143
876	1013	142
877	1014	141
878	1015	139
879	1016	138
880	1017	137
881	1018	136
882	1019	135
883	1020	133
884	1021	132
885	1022	131
886	1023	130
887	1024	129
888	1026	128
889	1031	127
890	1032	126
891	1033	125
892	1034	123
893	1035	122
894	1036	121
895	1037	120
896	1038	119
897	1039	118
898	1039	116
899	1040	115
900	1041	114
901	1042	113
902	1043	112
903	1044	110
904	1045	109
905	1046	108
906	1047	107
907	1048	106
908	1049	105
909	1050	103
910	1051	102
911	1052	101
912	1053	100
913	1054	99
914	1054	97
915	1055	96
916	1057	95
917	1058	94
918	1059	93
919	1060	92
920	1061	91
921	1062	89
922	1062	88
923	1063	87
924	1064	86
925	1065	85
926	1066	83
927	1067	82
928	1068	81
929	1069	80
930	1070	79
931	1070	78
932	1072	76
933	1073	75
934	1074	74
935	1075	73
936	1076	72
937	1077	71
938	1078	70
939	1078	68
940	1079	67
941	1080	66
942	1081	65
943	1082	64
944	1083	63
945	1084	61
946	1085	60
947	1086	59
948	1087	58
949	1088	57
950	1089	56
951	1090	54
952	1091	53
953	1092	52
954	1093	51
955	1094	50
956	1095	49
957	1095	48
958	1096	46
959	1097	45
960	1098	44
961	1099	43
962	1100	42
963	1101	41
964	1102	39
965	1104	38
966	1105	37
967	1106	36
968	1106	35
969	1107	34
970	1108	33
971	1109	31
972	1110	30
973	1111	29
974	1112	28
975	1113	27
976	1114	26
977	1114	25
978	1116	23
979	1117	22
980	1118	21
981	1119	20
982	1120	19
983	1121	18
984	1121	17
985	1122	15
986	1123	14
987	1124	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1131	5
995	1132	4
996	1133	3
997	1134	2
998	1134	1
999	1135	0
